"Time (s)","Radial Position (mm)","Radial Velocity (mm/s)","Radial Deflection (deg)","Slew Position (deg)","Slew Velocity (deg/s)","Tangential Deflection (deg)"
15.48,548,-0.09,1.85,211,-20.2,3.32
15.52,548,0.03,1.85,212,-19.92,3.24
15.56,548,-0.02,1.85,212,-20.02,3.24
15.6,548,-0.03,1.85,213,-20.04,3.16
15.64,548,0.02,1.85,214,-20.12,3.08
15.68,548,-0.04,1.85,215,-20.03,3.08
15.72,548,0,1.77,216,-19.94,3.01
15.76,548,0.03,1.77,216,-19.99,2.93
15.8,548,-0.06,1.77,217,-19.9,2.93
15.84,548,-0.02,1.77,218,-19.91,2.85
15.88,548,0.03,1.77,219,-20.08,2.78
15.92,548,-0.09,1.77,220,-20.02,2.7
15.96,548,0.01,1.77,220,-19.91,2.7
16,548,0.03,1.7,221,-19.96,2.62
16.04,548,-0.05,1.7,222,-19.92,2.54
16.08,548,0.04,1.7,223,-20.11,2.47
16.12,548,-0.02,1.7,224,-19.73,2.47
16.16,548,-0.06,1.7,224,-19.92,2.39
16.2,548,0.04,1.7,225,-20.14,2.39
16.24,548,-0.05,1.7,226,-20.1,2.31
16.28,548,-0.01,1.62,227,-19.9,2.24
16.32,548,0.04,1.62,228,-19.98,2.24
16.36,548,-0.02,1.62,228,-20.03,2.16
16.4,548,-0.08,1.62,229,-20.1,2.16
16.44,548,0.02,1.62,230,-19.8,2.08
16.48,548,-0.08,1.62,231,-19.94,2
16.52,548,0.02,1.62,231,-20,2
16.56,548,0.02,1.62,232,-20.2,1.93
16.6,548,-0.05,1.54,233,-20.06,1.85
16.64,548,0.06,1.54,234,-20.06,1.85
16.68,548,0,1.54,235,-20.09,1.77
16.72,548,-0.08,1.54,235,-19.86,1.77
16.76,548,0.02,1.54,236,-19.92,1.7
16.8,548,-0.01,1.54,237,-19.93,1.7
16.84,548,-0.08,1.54,238,-20.06,1.62
16.88,548,0.04,1.54,239,-20.01,1.62
16.92,548,0,1.54,239,-19.99,1.54
16.96,548,0.02,1.54,240,-20.08,1.46
17,548,0.01,1.54,241,-20.05,1.46
17.04,548,-0.04,1.46,242,-19.88,1.46
17.08,548,0.01,1.46,243,-20.03,1.39
17.12,548,0.06,1.46,243,-20.06,1.39
17.16,548,-0.08,1.46,244,-20.03,1.31
17.2,548,0.03,1.46,245,-19.95,1.31
17.24,548,0.05,1.46,246,-20.04,1.23
17.28,548,-0.06,1.46,247,-20.15,1.23
17.32,548,0.04,1.46,248,-19.96,1.16
17.36,548,0.02,1.46,248,-20.06,1.16
17.4,548,-0.07,1.46,249,-20.03,1.08
17.44,548,0.02,1.46,250,-20.08,1.08
17.48,548,0.04,1.46,251,-19.8,1
17.52,548,0.04,1.46,252,-19.95,1
17.56,548,0.03,1.46,252,-20.07,1
17.6,548,0.01,1.46,253,-20.03,0.93
17.64,548,-0.06,1.46,254,-19.91,0.93
17.68,548,0.03,1.46,255,-20.1,0.85
17.72,548,-0.06,1.39,256,-19.94,0.85
17.76,548,0,1.39,256,-20,0.77
17.8,548,0.04,1.39,257,-19.95,0.77
17.84,548,0,1.39,258,-19.96,0.77
17.88,548,0.02,1.39,259,-20.08,0.69
17.92,548,0.02,1.39,260,-20.01,0.69
17.96,548,-0.06,1.39,260,-19.94,0.69
18,548,0.03,1.39,261,-20.05,0.62
18.04,548,0.01,1.39,262,-20.02,0.62
18.08,548,-0.06,1.39,263,-19.9,0.54
18.12,548,0.08,1.39,264,-19.81,0.54
18.16,548,0,1.39,264,-19.96,0.54
18.2,548,-0.05,1.39,265,-20.07,0.46
18.24,548,0.01,1.39,266,-20.02,0.46
18.28,548,-0.02,1.39,267,-19.95,0.46
18.32,548,-0.02,1.39,267,-20.02,0.39
18.36,548,0.05,1.39,268,-20.18,0.39
18.4,548,-0.05,1.39,269,-20.03,0.39
18.44,548,0.04,1.39,270,-20.06,0.31
18.48,548,0.03,1.39,271,-20.03,0.31
18.52,548,-0.06,1.39,271,-19.74,0.31
18.56,548,0.01,1.39,272,-19.44,0.23
18.6,548,0.03,1.39,273,-18.89,0.23
18.64,548,-0.07,1.39,274,-18.69,0.23
18.68,548,0.04,1.39,275,-18.77,0.15
18.72,548,0.04,1.39,275,-18.75,0.15
18.76,548,-0.03,1.39,276,-18.88,0.15
18.8,548,0.05,1.39,277,-18.82,0.08
18.84,548,0.01,1.39,278,-18.64,0.08
18.88,548,-0.01,1.39,278,-19.01,0.08
18.92,548,0.06,1.39,279,-18.88,0
18.96,548,-0.04,1.39,280,-18.64,0
19,548,0,1.39,281,-18.83,0
19.04,548,0.02,1.39,281,-18.77,-0.08
19.08,548,-0.04,1.39,282,-18.88,-0.08
19.12,548,0.03,1.39,283,-18.64,-0.08
19.16,548,0,1.39,284,-18.54,-0.08
19.2,548,-0.06,1.39,284,-18.05,-0.15
19.24,548,0.02,1.39,285,-17.37,-0.15
19.28,548,0.02,1.39,286,-16.58,-0.15
19.32,548,-0.05,1.39,286,-16.32,-0.23
19.36,548,0.02,1.39,287,-16.03,-0.23
19.4,548,0.01,1.39,288,-15.89,-0.23
19.44,548,-0.04,1.39,288,-16.12,-0.23
19.48,548,0.04,1.39,289,-16.21,-0.31
19.52,548,-0.01,1.39,290,-16.32,-0.31
19.56,548,-0.02,1.46,290,-16.28,-0.31
19.6,548,0.04,1.46,291,-16.16,-0.39
19.64,548,0.02,1.46,291,-15.67,-0.39
19.68,548,0.01,1.46,292,-14.53,-0.39
19.72,548,0.06,1.46,293,-13.98,-0.39
19.76,548,-0.01,1.46,293,-13.61,-0.46
19.8,548,-0.02,1.46,294,-13.06,-0.46
19.84,548,0.03,1.46,294,-12.66,-0.46
19.88,548,-0.09,1.46,295,-12.46,-0.54
19.92,548,0.06,1.46,295,-12.52,-0.54
19.96,548,0.02,1.46,296,-12.59,-0.54
20,548,-0.07,1.46,296,-12.37,-0.54
20.04,548,0.05,1.46,297,-12.35,-0.62
20.08,548,0,1.46,297,-12.27,-0.62
20.12,548,-0.06,1.46,298,-12.26,-0.62
20.16,548,0.03,1.46,298,-12.32,-0.69
20.2,548,-0.04,1.46,299,-12.45,-0.69
20.24,548,0,1.46,299,-12.23,-0.69
20.28,548,0,1.46,300,-11.76,-0.69
20.32,548,-0.02,1.46,300,-10.96,-0.77
20.36,548,-0.04,1.46,300,-9.98,-0.77
20.4,548,0.04,1.54,301,-8.44,-0.77
20.44,548,-0.07,1.54,301,-7.62,-0.85
20.48,548,0.03,1.54,302,-7.39,-0.85
20.52,548,-0.03,1.54,302,-7.28,-0.85
20.56,548,-0.08,1.54,302,-7.47,-0.93
20.6,548,0.02,1.54,302,-7.9,-0.93
20.64,548,0.01,1.54,303,-8.04,-0.93
20.68,548,-0.08,1.54,303,-7.81,-0.93
20.72,548,0.01,1.54,303,-7.09,-1
20.76,548,0.01,1.54,304,-6.19,-1
20.8,548,-0.04,1.54,304,-5.97,-1
20.84,548,0.03,1.54,304,-5.88,-1.08
20.88,548,0.03,1.54,304,-5.64,-1.08
20.92,548,0,1.54,305,-5.17,-1.08
20.96,548,0.02,1.54,305,-4.68,-1.16
